PPM,DM,vmag,sptype,ra (hrs),dec (deg),pmra (mas/yr),pmdec (mas/yr),ura (mas),udec (mas),upmra (mas/yr),upmdec (mas/yr)
5142,BD+28 2248,6.23,K3III,13.67752778,28.06527778,-66,14,0,0,0,0
2977,CP-73  457,7.26,B9IV,7.589388889,-74.27555556,-7,9,0,0,0,0
5897,CP-59 6428,5.77,G5II-III+A3,15.92563889,-60.17777778,-52,-75,0,0,0,0
5151,BD+55 1625,4.66,M2IIIabBa0.5,13.67897222,54.68166667,-22,-9,0,0,0,0
7725,CD-3614011,6.39,M4III,20.27325,-36.45444444,9,-42,0,0,0,0
7851,BD+51 2882,6.18,K0III,20.52252778,52.30972222,36,68,0,0,0,0
170,BD-17  109,6.49,G5,0.674611111,-16.51694444,37,-40,0,0,0,0
857,BD+60  591,5.59,F4V,2.932472222,61.52111111,142,32,0,0,0,0
3125,BD+17 1731,5.55,gK3,8.013138889,17.30861111,-12,-2,0,0,0,0
4422,CP-71 1253,6.09,B3V,11.47172222,-72.47444444,-43,-20,0,0,0,0
4672,CD-35 7842,6.15,A0V,12.29647222,-36.09388889,-37,-6,0,0,0,0
505,BD+19  282,6.27,G3Va,1.748833333,20.08305556,-41,-109,0,0,0,0
6365,CP-67 3296,5.89,K0-1III,17.22152778,-67.19666667,-180,-93,0,0,0,0
328,CD-42  391,5.21,A3IV,1.129972222,-41.48694444,38,10,0,0,0,0
763,BD+07  402,5.81,gK0,2.60975,7.729722222,-49,-31,0,0,0,0
3265,BD+24 1909,5.98,B9.5V,8.34225,24.02222222,-23,-21,0,0,0,0
1475,BD+15  665,5.07,A4m,4.652555556,15.79972222,39,-72,0,0,0,0
4407,BD+04 2463,6.37,F3IV,11.43055556,3.86,-80,-41,0,0,0,0
2747,CD-26 4074,5.58,K4III,7.247527778,-27.03805556,-49,-30,0,0,0,0
344,BD+01  221,5.95,K4III,1.176,2.445555556,0,-15,0,0,0,0
98,CD-44  101,3.94,A7V,0.436722222,-43.68,109,29,0,0,0,0
2850,BD-17 1980,5.63,A5n,7.452222222,-17.86444444,2,15,0,0,0,0
4136,CD-43 6347,5.91,G6-8III,10.54266667,-44.61888889,-11,-32,0,0,0,0
7222,BD+69 1018,6.52,A0pSi,18.98127778,69.53111111,5,4,0,0,0,0
7683,BD+76  771,6.2,M3III,19.9935,76.48138889,-29,-55,0,0,0,0
4241,BD+01 2495,6.38,A3V,10.87047222,1.025277778,-2,3,0,0,0,0
5194,CD-2810277,6.18,A0V,13.83513889,-29.08138889,-48,-32,0,0,0,0
6347,BD-21 4512,6.3,A3m,17.10327778,-21.56472222,-11,-77,0,0,0,0
7320,BD+46 2658,6,F6IV:,19.28094444,46.99916667,-8,295,0,0,0,0
1965,BD-22 1194,5.87,A2,5.703861111,-22.37361111,-4,18,0,0,0,0
8612,BD+72 1049,5.08,F3III-IV,22.59613889,73.64305556,172,23,0,0,0,0
8458,BD+15 4592,5.95,K1III,22.19758333,16.04055556,-8,-19,0,0,0,0
7996,BD+29 4221,6.34,K2,20.88538889,29.64944444,-1,-47,0,0,0,0
87,CP-78    9,5.97,K3III,0.357944444,-77.42694444,2,-10,0,0,0,0
7466,BD+44 3185,5.17,G9IIIbFe-0.5,19.61052778,44.695,-101,-102,0,0,0,0
859,BD-22  503,5.95,K0III,2.893138889,-22.37638889,90,-80,0,0,0,0
3750,CP-52 2360,5.11,B6V,9.438361111,-53.37916667,-8,0,0,0,0,0
1267,BD+59  759,6.28,G8IIa,4.157666667,59.90805556,0,-5,0,0,0,0
8503,BD+56 2746,5.88,G8III,22.27402778,57.22027778,43,6,0,0,0,0
5454,CD-46 9469,6.07,F7V,14.65305556,-46.58416667,-182,-211,0,0,0,0
8353,BD+25 4635,5.08,B3Ve,21.88438889,25.925,9,-2,0,0,0,0
9029,CP-82  905,5.11,G7III,23.86844444,-82.01888889,-55,-19,0,0,0,0
3652,BD-06 2845,6.11,A3III:m+A0V:,9.207222222,-7.109722222,-16,19,0,0,0,0
6660,CD-3412228,6.42,ApSi*,17.89947222,-34.83166667,7,-23,0,0,0,0
338,BD+24  186,5.8,K7III,1.172055556,25.45777778,0,-114,0,0,0,0
7944,BD+15 4255,5.14,F7V,20.77741667,16.12444444,-30,-191,0,0,0,0
3554,BD+04 2081,6.14,G8II-III,8.943583333,4.236666667,-20,5,0,0,0,0
4439,CP-58 3693,5.15,A2Ia,11.53022222,-59.51583333,-8,1,0,0,0,0
2409,CP-58  722,5.7,B9Ve,6.532888889,-58.75416667,4,-11,0,0,0,0
9062,BD-16 6394,6.26,K0II-III,23.97255556,-15.8475,86,-6,0,0,0,0
299,BD+50  212,6.54,B3V,1.079666667,51.01,19,-2,0,0,0,0
6888,BD+49 2782,5.05,M2IIIab,18.35908333,49.12166667,-20,53,0,0,0,0
6703,BD-04 4384,5.87,K5III,17.99352778,-4.821388889,-14,-93,0,0,0,0
5079,CP-76  767,6.48,F6V,13.55411111,-77.56833333,-344,-112,0,0,0,0
5396,CD-2610280,6.48,G7IV,14.42991667,-26.8525,-19,-61,0,0,0,0
2694,BD+30 1439,4.41,K2-III,7.185666667,30.24527778,-30,-45,0,0,0,0
8039,CD-4314325,6.64,G3IV+K0IV,21.03683333,-43.00194444,60,-103,0,0,0,0
466,BD+43  343,4.98,G8III,1.655833333,44.38611111,-22,12,0,0,0,0
2613,CD-25 3864,5.59,B3V,6.976638889,-25.41388889,-10,15,0,0,0,0
1969,CD-30 2571,6.19,A0V,5.703222222,-30.53555556,2,7,0,0,0,0
7383,BD+19 4010,5.16,K0III,19.42461111,19.79861111,95,-63,0,0,0,0
4434,BD+15 2345,6.2,G0V,11.52913889,14.36444444,-330,-189,0,0,0,0
4878,CD-26 9369,6.15,A0III,12.86608333,-26.73805556,-111,40,0,0,0,0
6169,CP-68 2789,5.91,B7IVe,16.68980556,-68.29611111,-6,-12,0,0,0,0
670,BD+48  648,6.37,F4V,2.322972222,48.95527778,-93,68,0,0,0,0
6763,CD-2814174,4.57,G7:IIIb*,18.13472222,-28.45722222,27,-30,0,0,0,0
1268,CP-85   44,6.41,B9.5IV,3.708916667,-85.26222222,13,10,0,0,0,0
2597,BD+38 1656,6,K2III,6.984111111,38.05222222,-43,-122,0,0,0,0
6548,BD+16 3220,6.4,A8Vn,17.57422222,16.50388889,-4,-15,0,0,0,0
3453,CD-44 4704,5.23,B6Iae,8.699138889,-45.41083333,-3,-2,0,0,0,0
7046,BD+05 3941,5.83,A1V+A1V,18.75788889,5.499722222,15,-11,0,0,0,0
8944,BD+39 5114,5.59,A1Vp,23.57708333,40.23638889,-17,-46,0,0,0,0
6775,CD-4712098,6.07,K1IIICNII,18.18458333,-47.51305556,7,-29,0,0,0,0
8599,CD-4114963,5.86,A1V,22.61633333,-40.59111111,38,-75,0,0,0,0
6537,BD+57 1774,6.4,K2III,17.51216667,57.87638889,30,-30,0,0,0,0
8128,BD+04 4635,3.92,G0III+A5V,21.26372222,5.247777778,59,-88,0,0,0,0
5779,CP-73 1625,5.65,B7III-IV,15.67255556,-73.44666667,-21,-24,0,0,0,0
872,BD-04  502,5.17,A1Vn,2.943722222,-3.712222222,-35,-44,0,0,0,0
3300,BD+67  545,5.88,G8III,8.496166667,67.2975,-66,10,0,0,0,0
194,BD-22  127,5.24,F1III-IV,0.745666667,-22.00611111,-66,83,0,0,0,0
539,BD+62  320,3.38,B3III,1.906583333,63.67,32,-21,0,0,0,0
3219,BD+16 1662,6.01,G8III,8.216611111,16.51416667,-9,-19,0,0,0,0
884,BD+20  484,4.63,A2V s,2.986861111,21.34027778,-17,-5,0,0,0,0
5132,CD-39 8390,6.27,M4III,13.66133333,-39.74805556,-20,-25,0,0,0,0
1864,CP-62  479,6.59,K4-5III,5.488166667,-62.31444444,10,-23,0,0,0,0
271,BD+28  157,5.42,gG6,0.963944444,28.99222222,8,-8,0,0,0,0
8056,BD-06 5664,5.89,G4III,21.06797222,-5.823055556,18,-9,0,0,0,0
796,BD+48  746,4.12,F8V,2.736666667,49.22833333,336,-89,0,0,0,0
745,BD+36  519,5.71,K3III,2.594111111,37.31222222,4,-9,0,0,0,0
1298,BD+37  897,6.45,G9III,4.233222222,37.96694444,-58,0,0,0,0,0
4567,CD-46 7521,6.26,F5V,11.94552778,-47.0725,-126,16,0,0,0,0
1845,BD-06 1207,6.22,B2V,5.522472222,-6.708333333,10,0,0,0,0,0
6510,BD-05 4450,6.37,K0III,17.4965,-5.919722222,-22,-73,0,0,0,0
8985,BD-15 6476,4.49,B9.5V,23.71202778,-14.545,101,-66,0,0,0,0
1171,BD+10  486,5.07,B3V+F5V,3.804527778,11.14333333,28,-22,0,0,0,0
1931,BD+04 1002,4.57,B3IIIe,5.653083333,4.121388889,1,-3,0,0,0,0
6901,BD+27 3016,6.27,A0V+A4V,18.41625,27.39527778,2,8,0,0,0,0
5183,BD+39 2680,5.5,K0III+F8V,13.78327778,38.54277778,-131,-16,0,0,0,0
8558,BD+64 1664,5.46,B0.5Ibe:,22.45147222,65.13222222,1,-2,0,0,0,0
7694,BD+52 2623,5.85,F5V,20.10383333,53.16583333,212,255,0,0,0,0
5073,BD+53 1622,6.34,F0,13.46652778,52.74583333,-114,-8,0,0,0,0
2699,CD-39 3105,4.83,B2IV-V,7.147527778,-39.65583333,-9,2,0,0,0,0
2641,BD+52 1165,6.12,A3V s,7.094388889,52.75805556,-24,-72,0,0,0,0
8817,BD+74 1006,4.41,G2III,23.13163889,75.3875,12,-30,0,0,0,0
6055,CD-4910474,4.99,F9Ia,16.28358333,-50.06833333,-5,-4,0,0,0,0
3269,BD-04 2303,6.13,K2III,8.338083333,-5.329166667,24,-27,0,0,0,0
6541,BD-11 4411,5.55,B8Vn,17.57955556,-11.24194444,5,6,0,0,0,0
2015,BD+32 1109,6.25,M3III,5.857138889,32.125,1,7,0,0,0,0
8455,BD+10 4701,5.78,M1III,22.17705556,11.62444444,-46,-54,0,0,0,0
6933,CD-3313281,5.34,A3m,18.518,-32.98916667,-1,-45,0,0,0,0
2101,CP-64  495,6.63,F0III,5.903305556,-64.48222222,-3,64,0,0,0,0
5876,BD+18 3074,4.09,M0.5IIIab,15.81233333,18.14166667,-51,-88,0,0,0,0
9010,BD+67 1562,5.04,A1Vn,23.79855556,67.80694444,14,-1,0,0,0,0
2935,BD+18 1701,5.05,K5IIIFe-0.5,7.657944444,17.67472222,5,4,0,0,0,0
2184,CD-44 2452,6.27,B8II,6.142944444,-44.35611111,-13,10,0,0,0,0
5965,BD+33 2663,5.41,G0+VaFe-1,16.01741667,33.30361111,-192,-766,0,0,0,0
7757,BD+28 3695,6.22,G9III,20.29208333,29.14805556,-11,32,0,0,0,0
566,BD+22  288,4.79,F0V,1.965472222,23.59611111,-90,-13,0,0,0,0
9048,BD+25 5042,6.54,K5,23.92305556,25.955,-3,-8,0,0,0,0
8125,BD-15 5935,5.28,M3III,21.26247222,-15.17138889,27,5,0,0,0,0
6099,BD+68  868,6.41,K0,16.30261111,68.55444444,-44,47,0,0,0,0
9011,BD-07 6086,6.07,K4III,23.80902778,-6.380555556,3,-19,0,0,0,0
6386,CD-3212460,6.01,B1II,17.21630556,-32.43861111,13,-12,0,0,0,0
5204,CP-52 6787,5.25,B9V,13.868,-52.81166667,-45,-35,0,0,0,0
2271,CP-59  619,6.43,G0V,6.271805556,-59.21361111,-57,-325,0,0,0,0
6497,BD+27 2809,6.41,A5IV,17.43358333,26.87888889,8,23,0,0,0,0
4790,BD+22 2490,5.85,K1III,12.58558333,21.88138889,14,-19,0,0,0,0
7785,BD-10 5369,6.3,G5IIIa,20.38355556,-9.654722222,24,-18,0,0,0,0
6710,BD+16 3335,4.67,K0.5IIb,18.00094444,16.75083333,-7,-10,0,0,0,0
212,BD+23  106,4.06,K1IIe,0.788972222,24.26722222,-100,-83,0,0,0,0
5885,BD+02 3007,5.23,G8III,15.83819444,2.196388889,31,-51,0,0,0,0
3773,CP-61 1277,5.92,K1III,9.479722222,-62.27305556,-76,31,0,0,0,0
3651,CD-44 5206,5,B5Ia,9.184555556,-44.86805556,-1,2,0,0,0,0
1273,BD+54  740,6.18,F5V,4.156222222,54.82888889,81,-93,0,0,0,0
6828,BD+29 3213,6.56,F8V,18.24555556,29.20722222,16,-249,0,0,0,0
159,BD+02   80,6.39,K4III,0.625138889,3.135277778,95,-61,0,0,0,0
2023,CD-23 3135,5.87,A2,5.831527778,-22.97166667,-14,25,0,0,0,0
6184,CD-4811070,5.65,O5III(f),16.68897222,-48.76305556,-8,-3,0,0,0,0
5203,CD-46 8909,5.77,B2Vp,13.86311111,-46.89916667,-18,-30,0,0,0,0
1792,BD+34 1040,5.94,A0III,5.446916667,34.39166667,7,-11,0,0,0,0
5189,CD-33 9358,4.19,M4.5III,13.82408333,-34.45083333,-42,-57,0,0,0,0
6033,BD+58 1622,6.33,A1V,16.15080556,57.93777778,-24,22,0,0,0,0
3524,CD-46 4661,5.1,B0III,8.842638889,-46.52916667,-1,-2,0,0,0,0
2161,CD-29 2769,5.81,A1V,6.101527778,-29.75861111,13,-41,0,0,0,0
1628,CD-39 1744,6.03,G5III,5.02625,-39.71805556,-1,30,0,0,0,0
260,BD-08  167,5.85,K5III,0.928444444,-7.347222222,-7,-46,0,0,0,0
8012,BD-10 5553,5.51,gK5,20.94833333,-9.6975,-3,-10,0,0,0,0
7823,BD+37 3941,5.62,A3V,20.45952778,38.44027778,-23,-70,0,0,0,0
6844,BD+45 2684,6.29,G2V,18.25905556,45.20944444,-68,-110,0,0,0,0
8782,BD+00 4963,6.39,G9III,23.08822222,1.306944444,35,-27,0,0,0,0
7608,BD+59 2137,6.06,A3V,19.89316667,59.70888889,43,61,0,0,0,0
9073,CP-66 3819,4.5,B9IV,23.99861111,-65.57722222,48,-24,0,0,0,0
5625,CP-72 1714,6.01,B8-9III,15.20938889,-72.77027778,-24,-7,0,0,0,0
7228,BD-15 5223,5.97,B9V,19.09477778,-15.66027778,3,-7,0,0,0,0
5348,BD+46 1949,4.18,A0p,14.27305556,46.08833333,-187,161,0,0,0,0
8894,BD-00 4509,6.31,K2,23.39219444,0.291388889,68,10,0,0,0,0
6199,BD-19 4406,5.57,F4IV-III,16.69825,-19.92444444,22,41,0,0,0,0
4769,BD-04 3296,6.19,gG9,12.52741667,-5.0525,-38,31,0,0,0,0
2956,BD-14 2082,4.94,K3II,7.673111111,-15.26361111,-10,-22,0,0,0,0
6415,BD+36 2844,3.16,K3IIab,17.25077778,36.80916667,-26,4,0,0,0,0
4430,BD+19 2459,5.52,K0III,11.50805556,18.40972222,-88,20,0,0,0,0
4405,BD+17 2356,5.57,F2V,11.42677778,16.45638889,-143,-5,0,0,0,0
8835,BD+49 4071,6.31,A0V,23.23730556,50.61777778,38,-6,0,0,0,0
8850,BD+52 3410,5.54,F7V,23.27841667,53.21361111,115,-233,0,0,0,0
418,BD-13  262,5.66,F0IIIDel Del,1.447666667,-13.05666667,16,9,0,0,0,0
4307,BD+08 2455,4.63,F2III-IV,11.08361111,7.336111111,-341,-47,0,0,0,0
6173,BD+15 3029,6.3,B9pSiCrSr:,16.61194444,15.49805556,-9,-8,0,0,0,0
5924,BD-13 4290,6.37,F7V:,15.93733333,-14.39944444,31,-73,0,0,0,0
8425,BD+61 2246,5.11,O9.5Ib,22.08580556,62.28,3,0,0,0,0,0
7044,BD-22 4854,5.37,K4III,18.77238889,-22.39222222,31,0,0,0,0,0
1427,CD-42 1510,6.44,M1III,4.469277778,-41.96,-11,-6,0,0,0,0
6426,CP-80  828,5.88,M3III,17.52425,-80.85916667,-13,-44,0,0,0,0
1,BD+44 4550,6.7,A1Vn,0.086083333,45.22916667,-12,-18,0,0,0,0
4259,CP-70 1246,5.99,B6V,10.895,-70.72027778,-34,-6,0,0,0,0
5660,CD-47 9824,5.95,A3m,15.26494444,-48.07416667,18,-32,0,0,0,0
3414,CP-72  713,6.12,G8III,8.545055556,-73.35666667,-38,82,0,0,0,0
712,CP-74  194,5.01,K1III,2.381194444,-73.64583333,-83,10,0,0,0,0
3837,CP-53 2646,5.45,A2-3V,9.620083333,-53.66861111,-54,-17,0,0,0,0
8684,BD+67 1468,6.19,F5V,22.81686111,68.57027778,112,68,0,0,0,0
841,CD-25 1120,6.14,K1III,2.830833333,-24.56027778,-43,-127,0,0,0,0
2615,CD-28 3666,1.5,B2II,6.977083333,-28.97222222,4,3,0,0,0,0
690,BD-18  409,5.87,K0III,2.368055556,-17.66222222,11,-60,0,0,0,0
7618,CD-4912949,6.17,K0III,20.00702778,-49.35111111,-82,-6,0,0,0,0
7750,BD+24 4075,5.32,G8III,20.27975,24.67111111,16,-18,0,0,0,0
1482,CP-83   91,6.76,A7IV-V,4.380805556,-82.89916667,-18,3,0,0,0,0
7225,CD-3713048,4.99,F8V,19.10697222,-37.06333333,96,-274,0,0,0,0
7662,CP-66 3474,3.56,G6-8IV,20.14544444,-66.18194444,1207,-1131,0,0,0,0
7676,BD+19 4277,5.1,K2III,20.08597222,19.99111111,30,78,0,0,0,0
1952,BD+00 1152,5.93,F0IV,5.684888889,0.337777778,15,28,0,0,0,0
5710,CP-67 2864,5.89,G8-K0III,15.43741667,-68.30916667,121,11,0,0,0,0
3099,BD-22 2087,4.2,F7II,7.947638889,-22.88,-26,9,0,0,0,0
5909,CD-2412365,5.87,B8IIIp,15.91097222,-25.24361111,-13,-22,0,0,0,0
5230,BD-07 3728,6.19,F8V+G0,13.91616667,-8.058888889,-172,-30,0,0,0,0
5607,BD+06 2983,6.5,F0V,15.06844444,5.4925,-10,-41,0,0,0,0
6704,BD+30 3093,4.41,F2II,17.97505556,30.18944444,0,7,0,0,0,0
5891,BD+15 2918,5.2,M7IIIe,15.84491667,15.13361111,-5,-41,0,0,0,0
345,BD+36  201,5.81,B7III-IV,1.186194444,37.72416667,-12,-7,0,0,0,0
3581,BD-18 2536,6.18,F6V,8.994416667,-19.20805556,-51,-98,0,0,0,0
7778,BD+54 2329,5.76,A2V s,20.30688889,55.39722222,-6,-23,0,0,0,0
7462,CD-3913371,6.61,A2m,19.66547222,-39.43333333,62,-61,0,0,0,0
8873,BD+41 4752,5.79,M0III,23.33122222,42.07805556,52,10,0,0,0,0
5540,CD-37 9760,5.03,B7IIIp,14.88086111,-37.80333333,-18,-21,0,0,0,0
5730,BD+37 2636,4.31,F2IVa,15.40816667,37.37722222,-146,87,0,0,0,0
1624,BD+32  879,6.62,A4m,5.076916667,32.32027778,-11,-70,0,0,0,0
1454,CP-81  115,5.79,F0-2III,4.349416667,-81.58,3,127,0,0,0,0
4891,BD+22 2519,4.9,G8III+F6V,12.88827778,21.245,-47,-22,0,0,0,0
6325,BD+27 2738,6.55,F5V,17.01933333,27.19638889,-14,-63,0,0,0,0
7564,BD+40 3902,5.69,B1III+B3V,19.84369444,40.59972222,1,-4,0,0,0,0
5574,CD-2710148,5.65,A4V+A6V,14.97755556,-27.65722222,-42,-10,0,0,0,0
8104,BD+47 3322,6.46,B6IV,21.17527778,47.69194444,4,-7,0,0,0,0
8198,CP-80 1017,6.47,A0V,21.55572222,-80.03916667,6,-12,0,0,0,0
3943,CD-23 8898,6.21,B4Ve,9.985027778,-23.95027778,-49,23,0,0,0,0
1755,CD-27 2204,5.99,A0V,5.32325,-27.36888889,0,-10,0,0,0,0
756,BD-08  489,5.53,M0III,2.6,-7.831666667,-33,-59,0,0,0,0
1513,CD-50 1471,5.31,K0-1III,4.712888889,-50.48138889,-31,30,0,0,0,0
4910,CD-50 7394,5.16,B8-9V,12.95122222,-51.19861111,-26,-15,0,0,0,0
7359,BD+64 1344,6.52,B9IVpHgMn,19.32947222,64.39083333,-2,10,0,0,0,0
3940,CD-47 5399,6.05,B3V,9.961805556,-48.41444444,-16,-15,0,0,0,0
8834,BD-11 6032,6.12,K5III,23.2445,-10.68861111,-1,-34,0,0,0,0
1197,CD-36 1476,6.86,B9.5V,3.843777778,-36.42527778,4,20,0,0,0,0
6098,CD-3710778,5.42,B8IV,16.40880556,-37.56583333,-20,-24,0,0,0,0
4034,CP-69 1178,3.32,B8III,10.22894444,-70.03805556,-39,7,0,0,0,0
2571,BD-11 1681,4.07,K4III,6.903166667,-12.03861111,-137,-13,0,0,0,0
5135,BD+11 2589,5.57,F0V,13.65961111,10.74611111,-112,-13,0,0,0,0
4906,BD+47 2003,5.84,M5III,12.91569444,47.19666667,-16,-6,0,0,0,0
8173,CP-83  716,6.38,B3IV,21.56511111,-82.68305556,18,0,0,0,0,0
6337,BD-20 4627,6.3,B6IV,17.07925,-20.49472222,-6,-24,0,0,0,0
6333,BD+32 2835,6.36,K0,17.03811111,31.88472222,45,37,0,0,0,0
