Common Name,name,ra (J2000 hrs),radeg (J2000 deg),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),distance (pc),rv (km/s),vmag (Johnson V),Sloan I band,sptype,priority,vsini (km/s),exptime (sec),maxobs,seplimit,pmodeperiod(min),Amp P-mode (cm/s),fauexptime (sec),acquisition_offset_north (arcsec),acquisition_offset_east (arcsec),iodine,active,Howard (2010),finder,MEarth Image,MEarth Mags,Companion ,Type and Seperation,Planets,Mass,Period,Paper,comment
Sirius,HD48915,6.752475,101.287125,-16.71611586,-546.01,-1223.07,379.21,2.6,-5.5,-1.4,-1.43,A1V,100,,900,99,1,,,0.01,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=101.287125&d=-16.7161158611&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
Hassaleh,HD31398,4.949894733,74.248421,33.1661,6.79,-14.88,6.61,8000.0,17.78,2.69,,K3II-III,100,,9000,99,1,,,0.1,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=74.248421&d=33.1661&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,none
Tau Ceti,HD10700,1.7344667,26.017,-15.9374794,-1721.05,854.16,273.96,3.7,-16.68,3.5,2.41,G8V,100,,900,99,1,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=26.0170005&d=-15.9374794&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
V* TZ Ari,Gl83.1,2.0035972,30.0539583,13.0519503,1096.565,-1772.865,223.6349,4.5,-28.308,12.71,9.3,m5,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=30.053958&d=13.0519503&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ0200+1303_tel02_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ0200+1303_tel02_2011-2013.txt,No,,None,,,,
V* BX Cet,Gl105B,2.6042389,39.0635833,6.8716456,1801.837,1449.914,138.4637,7.2,26.8,11.84,8.9,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=39.0635835&d=6.8716456&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
Stein 2051,Gl169.1A,4.5198611,67.7979167,58.9770633,1303.27,-2043.847,180.4215,5.5,29,10.82,8.1,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=67.7979165&d=58.9770633&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,yes,"DC5, Seperation = 8"" ",,,,,
G 97-54,GJ3356,5.5811417,83.717125,13.8796422,-118.691,-396.695,83.8543,11.9,37.7,11.95,9.2,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=83.7171255&d=13.8796422&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
LHS 1805,GJ3378,6.0197333,90.296,59.5971903,-104.924,-928.756,129.4589,7.7,3,12.37,9,m5,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=90.2959995&d=59.5971903&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ0601+5935_tel02_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ0200+1303_tel02_2011-2013.txt,no,,,,,,
Luyten's Star,Gl273,7.4568028,111.8520417,5.2257869,572.51,-3693.51,262.98,3.8,18.2,9.84,8.2,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=111.852042&d=5.2257869&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,,no,,,,,,
AD Leo,Gl388,10.3267444,154.9011667,19.8700039,-498.605,-43.683,201.3683,5.0,12.5,9.64,7.8,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=154.901166&d=19.8700039&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,none listed,,,,
LHS 283,GJ3612,11.1840361,167.7605417,30.4448103,604.831,-206.442,84.1971,11.9,-16.11,12.4,9.2,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=167.7605415&d=30.4448103&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
HD 97101B,Gl414B,11.7948278,176.9224167,78.6911608,748.111,480.604,190.2625,5.3,0,10.82,9,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=176.922417&d=78.6911608&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
GJ 445,Gl445,11.79479167,176.921875,78.691093,0,0,0,8000.0,0,10.8,9.2,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=176.921875&d=78.691093&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
Wolf 424,Gl473AB,11.7948278,176.9224167,78.6911608,748.111,480.604,190.2625,5.3,-111.65,12.7,8.8,m6,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=176.922417&d=78.6911608&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,yes,"M5, seperation = <2""",,,,,
DP Dra,Gl487,12.8174418,192.261627,66.110199,0,0,0,8000.0,0,10.94,9.2,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=192.261627&d=66.110199&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,yes,"K2.5, seperation 7""",,,,,
GJ 3861,GJ3861,14.61471967,219.220795,58.348679,0,0,0,8000.0,0,12.14,9.1,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=219.220795&d=58.348679&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
OT Ser,GJ9520,15.36470233,230.470535,20.977737,0,0,0,8000.0,0,10.66,8.4,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=230.470535&d=20.977737&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
