Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
03:04:47,HR3799,1800.0,n20230419.HR3799.0004.fits,on,on,on,on,12,6.0,9.1
03:44:43,TOI4631,1800.0,n20230419.TOI4631.0005.fits,on,on,on,on,12,6.0,9.1
04:29:46,TOI2065,1800.0,n20230419.TOI2065.0006.fits,on,on,on,on,12,6.0,9.1
05:14:41,TOI2003,1800.0,n20230419.TOI2003.0007.fits,on,on,on,on,12,6.0,9.1
05:59:29,TOI2321,1800.0,n20230419.TOI2321.0008.fits,on,on,on,on,12,6.0,9.1
06:44:16,TOI2065,1800.0,n20230419.TOI2065.0009.fits,on,on,on,on,12,6.0,9.1
07:30:03,TOI2003,1800.0,n20230419.TOI2003.0010.fits,on,on,on,on,12,6.0,9.1
08:15:09,TOI2321,1800.0,n20230419.TOI2321.0011.fits,on,on,on,on,12,6.0,9.1
08:57:03,TOI2065,1800.0,n20230419.TOI2065.0012.fits,on,on,on,on,12,6.0,9.1
09:40:58,TOI2180,1800.0,n20230419.TOI2180.0013.fits,on,on,on,on,12,6.0,9.1
10:25:56,TOI4465,1800.0,n20230419.TOI4465.0014.fits,on,on,on,on,12,6.0,9.1
11:11:02,TOI2321,1800.0,n20230419.TOI2321.0015.fits,on,on,on,on,12,6.0,9.1
