name,ra (J2000 hrs),radeg (J2000 deg),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),distance (pc),rv (km/s),vmag (Johnson V),sptype,bad_priority,priority,vsini (km/s),exptime (sec),maxobs,seplimit,pmodeperiod(min),Amp P-mode (cm/s),fauexptime (sec),acquisition_offset_north (arcsec),acquisition_offset_east (arcsec),iodine,active,dtactive,tc,period,t14,Howard (2010),finder,mstar,rstar,rpearth,mpearth,k,comment
HD100180,11.5291513,172.9372695,14.3645,0,0,0,8000.0,0,6.2,G0,1,0.05,,1800,,,6.44,15.51,2.39,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=172.9372695&d=14.3645&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD100623,11.5748573,173.6228595,-32.83134,0,0,0,8000.0,0,5.98,K0,1,0.05,,1800,,,3.91,11.01,1.95,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=173.6228595&d=-32.83134&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD103932,11.9656133,179.4841995,-27.70704,0,0,0,8000.0,0,6.964,K5,1,0.05,,1800,,,,,4.84,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=179.4841995&d=-27.70704&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD104304,12.0123473,180.1852095,-10.44601,0,0,0,8000.0,0,5.54,G9,1,0.05,,1800,,,6.84,18.43,1.3,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=180.1852095&d=-10.44601&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD10476,1.7082673,25.6240095,20.2685,0,0,0,8000.0,0,5.2,K1,1,0.05,,1800,,,4.43,10.49,0.95,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=25.6240095&d=20.2685&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD10700,1.7344676,26.017014,-15.93748,-1721.05,854.16,273.96,3.7,-16.68,3.5,G8,60,3,,906,,,3.56,10.11,0.2,0,0,1,1,1,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=26.017014&d=-15.93748&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,tau Ceti
HD109358,12.5623733,188.4355995,41.35748,0,0,0,8000.0,0,4.25,G0,1,0.05,,1800,,,5.73,10.39,0.4,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=188.4355995&d=41.35748&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD110315,12.6851333,190.2769995,15.37666,0,0,0,8000.0,0,7.9,K2,1,0.05,,1800,,,,,11.45,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=190.2769995&d=15.37666&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD110897,12.7498347,191.2475205,39.27892,0,0,0,8000.0,0,6,G0,1,0.05,,1800,,,4.98,9.91,1.99,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=191.2475205&d=39.27892&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD114613,13.2008847,198.0132705,-37.80302,0,0,0,8000.0,0,4.85,G3,1,0.05,,1800,,,19.88,43.79,0.69,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=198.0132705&d=-37.80302&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD114783,13.2121627,198.1824405,-2.26504,0,0,0,8000.0,0,7.55,K0,1,0.05,,1800,,,4.64,9.68,8.3,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=198.1824405&d=-2.26504&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
HD115617,13.306754,199.60131,-18.3112,0,0,0,8000.0,0,4.74,G5,1,0.05,,1800,,,5.43,12.06,0.62,0,0,1,0,0,,,,x,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=199.60131&d=-18.3112&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,
